id,category,query,winner,judge_reason,plain_grounding,plain_hallucination_risk,plain_graph_structure,plain_dependency_count,plain_evidence_triples,plain_coherence,plain_judge_avg,plain_judge_factuality,plain_judge_relevance,plain_judge_structure,plain_judge_clarity,plain_judge_usefulness,kg_grounding,kg_hallucination_risk,kg_graph_structure,kg_dependency_count,kg_evidence_triples,kg_coherence,kg_judge_avg,kg_judge_factuality,kg_judge_relevance,kg_judge_structure,kg_judge_clarity,kg_judge_usefulness
dependency_001,logical_dependency,"Why must an AI system verify retrieved evidence before aggregating an answer, and what can go wrong if these steps are executed in parallel without dependencies?",B,"B grounds reasoning in explicit, plausible KG relations (e.g., 'Constraint Checking-verifies-Evidence Branch') that directly address the question’s core—why verification must precede aggregation and what fails without dependency enforcement. A merely describes generic skeleton steps without domain-specific justification or causal logic. B’s DAG-based structure reflects true logical precedence; A’s steps are circular, self-referential, and lack concrete evidence or error analysis (e.g., no mention of hallucination propagation, contradiction, or inconsistent aggregation). B is more factual, relevant, structured, and useful for explaining the necessity of sequential verification.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.91,0.09,1.0,7,17,1.0,8.2,8,9,9,7,8
dependency_002,logical_dependency,Explain why entity linking should happen before knowledge graph retrieval in a grounded text generation pipeline.,B,"B grounds its reasoning in explicit KG relations (e.g., 'Entity Linking -[enables]-> KG Retrieval'), directly addressing the causal dependency in the question; A merely describes generic pipeline steps without explaining *why* ordering matters, contains circular/self-referential phrasing, and lacks factual grounding or domain-specific justification.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,6,5,3,0.897,0.103,0.8,4,22,1.0,9.0,9,10,9,8,9
dependency_003,logical_dependency,Why should a reasoning system build dependencies between claims before expanding them in parallel?,B,"B grounds each step in concrete, plausible KG relations (e.g., 'Chain of Thought -[strong_at]-> Logical Dependency') that directly address the *why*—emphasizing logical necessity, consistency, and evidence-based dependency modeling. A is generic, circular (repeats 'serves the query' without substance), lacks factual anchors, and fails to explain *why* dependencies must precede parallel expansion. B’s DAG-driven structure reflects actual reasoning constraints (e.g., acyclicity preventing circular justification), making it more factually grounded, relevant, and useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,6,7,5,4,0.903,0.097,1.0,6,15,1.0,9.0,9,10,9,8,9
dependency_004,logical_dependency,"In a multi-step answer generation pipeline, why should contradiction checking happen before final summarization?",B,"B directly addresses the core question with KG-grounded causal logic (e.g., 'Answer Synthesis-requires-Consistency Check'), cites specific relational evidence, and explains *why* contradiction checking must precede summarization—namely to prevent propagating inconsistencies into synthesis. A is generic, circular, and never states the key reason: summarization irreversibly collapses inconsistent branches; checking afterward is impossible. B’s DAG-inspired flow (anchor → constrain → synthesize) is logically faithful and actionable.",0.0,1.0,0.0,0,0,0.15,5.0,4,5,7,5,4,0.811,0.189,0.0,2,5,1.0,9.0,9,10,9,8,9
dependency_005,logical_dependency,Explain why some thought nodes can be generated in parallel while others must wait for prerequisite evidence.,B,"B directly addresses the question by grounding explanation in KG-defined relationships (e.g., 'Evidence Branch-grounds-Thought Node Planning', 'Logical Reasoning-uses-Prerequisite'), making dependencies explicit and factually grounded. A merely lists generic pipeline steps without explaining *why* parallelism or serialization occurs — no causal reasoning, no domain-specific evidence, and no conceptual distinction between independent vs. dependent thought nodes. B’s DAG-based, relation-aware structure provides mechanistic insight; A’s skeleton is vacuous and circular.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.89,0.11,1.0,7,19,1.0,9.0,9,10,9,8,9
dependency_006,logical_dependency,Why should a system identify the user intent before selecting retrieval sources?,B,"B directly addresses the *why* by grounding each step in KG-supported causal relationships (e.g., entity linking enables KG retrieval, which provides evidence for intent-aware source selection), making it factually grounded, highly relevant, and practically useful. A describes generic SoT process steps without explaining *why intent identification must precede source selection*—it confuses method description with justification, lacks domain-specific reasoning, and offers no conceptual insight into retrieval design.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.897,0.103,0.0,8,15,1.0,9.0,9,10,9,8,9
dependency_007,logical_dependency,Explain why query decomposition should happen before parallel sub-question answering.,B,"B grounds its reasoning in explicit KG facts (e.g., 'decomposition-supports-multi_hop_reasoning'), directly addressing the 'why' with domain-specific causal evidence; A describes generic pipeline steps without justifying the temporal order or explaining the dependency. B’s DAG-like progression (anchoring → constraint-guided branching → synthesis) reflects true logical precedence, while A’s steps are circular and tautological, failing to explain *why* decomposition must precede parallelism.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.875,0.125,0.0,4,9,1.0,9.0,9,10,9,8,9
dependency_008,logical_dependency,Why does a generated conclusion depend on validating intermediate claims first?,B,"B grounds each step in explicit, factual KG and reasoning constructs (e.g., 'Knowledge Graph-supports-Verification', 'Graph of Thoughts-uses-Directed Acyclic Graph'), directly addressing *why* intermediate validation is necessary — because verification reduces hallucination and DAGs enforce dependency-aware inference. A merely lists generic procedural steps without justifying the *causal necessity* of validating intermediates first; it confuses process description with explanatory reasoning. B’s evidence links and logical flow make the dependency clear, factual, and pedagogically useful.",0.0,1.0,0.0,0,0,0.15,5.2,4,5,7,6,4,0.894,0.106,0.0,8,20,1.0,8.8,9,9,9,8,9
dependency_009,logical_dependency,"In a RAG system, why should document ranking happen before evidence synthesis?",B,"A is generic, self-referential, and avoids answering the question—no actual RAG rationale is given. B grounds reasoning in plausible KG relations (e.g., evidence retrieval enabling multi-hop reasoning, constraint checking reducing hallucination), directly addressing *why* ranking precedes synthesis with domain-aligned causal logic. B’s DAG-based structure reflects real RAG pipeline dependencies, making it factually grounded, relevant, and practically useful.",0.0,1.0,0.0,0,0,0.15,4.4,3,4,7,5,3,0.925,0.075,1.0,7,17,1.0,8.2,8,9,9,7,8
dependency_010,logical_dependency,Why should a system resolve coreference before extracting relations from text?,B,"A merely lists generic SoT pipeline steps without addressing the *substantive question* about coreference resolution and relation extraction — it's circular, non-informative, and factually vacuous. B anchors each step in domain-relevant KG and GoT concepts (e.g., Entity Linking, Verification, DAG modeling), directly linking methodology to the *why*: resolving coreference prevents entity misalignment during relation extraction. B is factually grounded, relevant, well-structured, clear, and actually useful.",0.0,1.0,0.0,0,0,0.15,4.2,3,4,7,5,2,0.894,0.106,0.0,8,20,1.0,8.4,8,9,9,8,8
